Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
2013-0550-USA,2013,550,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,Cleon and Dion,Kill,United States of America (the),USA,Northern America,Americas,"Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Vermont, Virginia, West Virginia provinces",,,,,,,,,Kph,,,,,2013,12,1,2013,12,9,20,,,,,,62500,100000,91.12079403
2013-0528-USA,2013,528,Natural,Meteorological,Extreme temperature,Severe winter conditions,Snow/Ice,,Affected,United States of America (the),USA,Northern America,Americas,"Michigan, Ohio, New York, Vermont, Maine, Kansas, Iowa, Texas, Wisconsin, Illinois, Minnesota, Arkansas, Louisiana, Mississippi, Kentucky provinces",,,,,,,,,°C,,,,,2013,12,19,2013,12,22,19,,,,,,,200000,91.12079403
2013-0117-USA,2013,117,Natural,Meteorological,Storm,Convective storm,Severe storm,,Affected,United States of America (the),USA,Northern America,Americas,"California, Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia provinces",,,,,,,,,Kph,,,,,2013,4,7,2013,4,11,4,,,,,,1500000,1600000,91.12079403
2013-0548-USA,2013,548,Natural,Meteorological,Storm,Convective storm,Severe storm,,SigDam,United States of America (the),USA,Northern America,Americas,"Louisiana, South Carolina, Mississippi provinces",,,,,,,,,Kph,,,,,2013,3,18,2013,3,19,2,,,,,,1600000,2200000,91.12079403
2013-0254-USA,2013,254,Natural,Hydrological,Flood,Riverine flood,,,Affected,United States of America (the),USA,Northern America,Americas,"Cleveland, Lincoln, Catawba districts (North Carolina province), Pennsylvania province",Slow moving storm system,,,,,,,,Km2,,,,,2013,7,27,2013,7,28,2,,1425,,1425,,,25000,91.12079403
2013-0277-USA,2013,277,Natural,Hydrological,Flood,Riverine flood,,,Affected,United States of America (the),USA,Northern America,Americas,"Missouri, Kansas, Tennessee, Arkansas, Oklahoma provinces",Torrential rains,,,,,,,123143,Km2,38.2138,-94.15,,,2013,8,5,2013,8,12,3,,6000,,6000,,,25000,91.12079403
2013-0286-USA,2013,286,Natural,Hydrological,Flood,Riverine flood,,,Affected,United States of America (the),USA,Northern America,Americas,"San Antonio town (Bexar district, Texas province)",Heavy rains,,,,,,,33908,Km2,28.899,-98.89,,,2013,5,25,2013,5,28,3,,300,,300,,,2000,91.12079403
2013-0291-USA,2013,291,Natural,Hydrological,Flood,Riverine flood,,,Affected,United States of America (the),USA,Northern America,Americas,"Iowa, Michigan, Minnesota, Wisconsin provinces",Heavy rains,,,,,,,493137,Km2,38.8278,-88.64,,,2013,4,22,2013,4,29,5,,300,,300,,,325000,91.12079403
2013-0510-USA,2013,510,Natural,Hydrological,Flood,Riverine flood,,,Affected,United States of America (the),USA,Northern America,Americas,Austin district (Texas province),Torrentiak rain,,,,,Yes,,38936,Km2,30.66,-96.01,,,2013,10,31,2013,11,10,4,,4800,,4800,,,,91.12079403
2013-0558-USA,2013,558,Natural,Hydrological,Flood,Riverine flood,,,Waiting,United States of America (the),USA,Northern America,Americas,"Nelson, Carroll districts (Kentucky province)",Heavy rains,,,,,,,16070,Km2,37.5597,-86.79,,,2013,12,22,2013,12,31,5,,,,,,,,91.12079403
2013-0209-USA,2013,209,Natural,Climatological,Wildfire,Forest fire,,,Affected,United States of America (the),USA,Northern America,Americas,Los Angeles district (California province),"Hot temperatures, gusty winds, dry forest conditions",,,,,,,,Km2,,,,,2013,5,30,2013,6,8,,8,12,90,110,,,21400,91.12079403
2013-0210-USA,2013,210,Natural,Climatological,Wildfire,Forest fire,,,Affected,United States of America (the),USA,Northern America,Americas,"Black Forest area (El Paso district, Colorado province)",,,,,,,,,Km2,,,,,2013,6,6,2013,6,20,2,,84,1533,1617,,450000,500000,91.12079403
2013-0212-USA,2013,212,Natural,Climatological,Wildfire,Forest fire,,,Kill,United States of America (the),USA,Northern America,Americas,"Yarnell area (Yavapai district, Arizona province)",,,,,,,,,Km2,,,,,2013,6,28,2013,7,12,19,,,387,387,,,2000,91.12079403
2013-0586-USA,2013,586,Technological,Technological,Transport accident,Air,,Boeing 777,Affected,United States of America (the),USA,Northern America,Americas,San Francisco,,,,,No,No,,,,,,,,2013,7,6,2013,7,6,3,182,,,182,,,,91.12079403
2013-0179-USA,2013,179,Technological,Technological,Industrial accident,Explosion,,Fetilizer plant,Kill,United States of America (the),USA,Northern America,Americas,Near Waco (Texas),,,,,No,No,,,m3,,,,,2013,5,21,2013,5,21,15,200,420,,620,,,200000,91.12079403
2013-0315-USA,2013,315,Natural,Climatological,Wildfire,,,,Affected,United States of America (the),USA,Northern America,Americas,"Yosemite valley (Mariposa district, California province)",,,,,,Yes,,,Km2,,,,,2013,8,3,2013,9,1,,3,,33,36,,,175000,91.12079403
2013-0404-USA,2013,404,Natural,Climatological,Wildfire,,,,Affected,United States of America (the),USA,Northern America,Americas,Shasta district (California province),,,,,,,,,Km2,,,,,2013,9,9,2013,9,15,1,6,15,204,225,,,10000,91.12079403
2014-0126-USA,2014,126,Natural,Meteorological,Storm,Convective storm,Severe storm,,Kill,United States of America (the),USA,Northern America,Americas,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Mississippi, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Florida, Alabama, New York, New Jersey, Pennsylvania provinces",,Flood,Hail,,,,,,Kph,,,,,2014,4,27,2014,5,1,40,15,,,15,,1200000,2000000,92.59898057
2014-0048-USA,2014,48,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Declar,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania provinces",,Cold wave,,,,Yes,,,Kph,,,,,2014,2,2,2014,2,6,9,,,,,,150000,250000,92.59898057
2014-0072-USA,2014,72,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Declar,United States of America (the),USA,Northern America,Americas,"District of Columbia, New York, Georgia, South Carolina, North Carolina, Pennsylvania provinces",,Cold wave,,,,Yes,,,Kph,,,,,2014,2,11,2014,2,14,25,,,,,,280000,750000,92.59898057
2014-0052-USA,2014,52,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Maine, Massachusetts, New Hampshire, Vermont, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania, Maryland provinces",,,,,,,,,Kph,,,,,2014,1,1,2014,1,5,16,,,,,,200000,210000,92.59898057
2014-0053-USA,2014,53,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,United States of America (the),USA,Northern America,Americas,"Georgia, Alabama, Mississippi, Louisiana, North Carolina, South Carolina provinces",,,,,,Yes,,,Kph,,,,,2014,1,26,2014,1,29,13,,,,,,,250000,92.59898057
2014-0100-USA,2014,100,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,United States of America (the),USA,Northern America,Americas,"California, Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Tennessee, New York, New Jersey, Pennsylvania provinces",,,,,,,,,Kph,,,,,2014,2,28,2014,3,4,12,,,,,,,2000,92.59898057
2014-0095-USA,2014,95,Natural,Hydrological,Landslide,Landslide,,,Kill,United States of America (the),USA,Northern America,Americas,"Oso village (Snohomish district, Washington province)",Heavy rains and small earthquake,,,,,,,,,,,,,2014,3,22,2014,3,22,43,,,150,150,,,20000,92.59898057
2014-0009-USA,2014,9,Natural,Meteorological,Extreme temperature,Cold wave,,,Affected,United States of America (the),USA,Northern America,Americas,"New York, Minnesota, Georgia, Maryland, Alaska, Alabama, Mississippi, Louisiana, North Carolina, South Carolina, Ohio, Indiana, Illinois, Pennsylvania, Michigan, New Jersey, Virginia, Kentucky, Missouri provinces",,,,,,Yes,,-37,°C,,,,,2014,1,5,2014,1,8,21,,,,,,1600000,2500000,92.59898057
2014-9023-USA,2014,9023,Natural,Climatological,Drought,Drought,,,Declar,United States of America (the),USA,Northern America,Americas,San Joaquin district (California province),,,,,,,,,Km2,,,,,2014,1,,2014,12,,,,,,,,,2200000,92.59898057
2003-0830-USA,2003,830,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,United States of America (the),USA,Northern America,Americas,"Arkansas, Texas provinces",,Transport accident,,,,,,,Kph,,,,,2003,2,26,2003,2,26,14,,,,,,,,71.95500655
2014-0482-USA,2014,482,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,SigDis,United States of America (the),USA,Northern America,Americas,"Los Angeles, San Diego districts (California province), Oregon province",,Flood,"Slide (land, mud, snow, rock)",,,Yes,,230,Kph,,,,,2014,12,10,2014,12,17,3,,,30,30,,,,92.59898057
2014-0263-USA,2014,263,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Affected,United States of America (the),USA,Northern America,Americas,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, Texas, Wyoming, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, South Dakota, Wisconsin, New York, New Jersey, Pennsylvania, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, Tennessee provinces",,Flood,Hail,,,,,60,Kph,,,,,2014,7,26,2014,7,27,,,300,,300,,200000,270000,92.59898057
2014-0444-USA,2014,444,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Declar,United States of America (the),USA,Northern America,Americas,"Arkansas, Louisiana, Alabama, Mississippi, Kentucky, Illinois, Texas provinces",,Hail,Lightening,,,Yes,,160,Kph,,,,,2014,10,12,2014,10,14,2,,,,,,200000,170000,92.59898057
2014-0318-USA,2014,318,Natural,Geophysical,Earthquake,Ground movement,,,Affected,United States of America (the),USA,Northern America,Americas,"San Francisco Bay (San Francisco district) , Napa Valley (Napa district) ; Sonoma, Solano district (California province) ; Vallejo, Mare Island cities (Solano district, California province)",,Fire,,,,,,6,Richter,38.2151667,-122.3123333,3:20,,2014,8,24,2014,8,24,1,250,3000,,3250,,150000,700000,92.59898057
2014-0491-USA,2014,491,Natural,Hydrological,Flood,Flash flood,,,SigDam,United States of America (the),USA,Northern America,Americas,"Orange, Mariposa, Tuolumne, Los Angeles, San Francisco, Sacaramento districts (California province)","Heavy rains, strong storm system","Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2014,12,2,2014,12,5,,,,,,,50000,90000,92.59898057
2014-0192-USA,2014,192,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,SigDam,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, North Dakota, Ohio, South Dakota, Wisconsin, Kansas, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Arizona, Idaho, Montana, Nevada, New Mexico, Utah, Wyoming, New York, New Jersey, Pennsylvania, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut provinces",,Hail,,,,,,110,Kph,,,,,2014,5,18,2014,5,23,,,,,,,2900000,3900000,92.59898057
2014-0540-USA,2014,540,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,SigDam,United States of America (the),USA,Northern America,Americas,"Blair area (Washington district, Nebraska province), Iowa, Kansas, Arkansas, Wyoming provinces",,Hail,,,,,,128,Kph,,,,,2014,6,3,2014,6,6,2,36,,,36,,1300000,1600000,92.59898057
2014-0459-USA,2014,459,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Declar,United States of America (the),USA,Northern America,Americas,"New York, New Hampshire, Michigan provinces",,,,,,Yes,,,Kph,,,,,2014,11,15,2014,11,19,13,,,,,,63500,100000,92.59898057
2014-0317-USA,2014,317,Natural,Hydrological,Flood,Riverine flood,,,Affected,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvanie, Maryland provinces",Excessive rainfall,,,,,,,,Km2,,,,,2014,8,11,2014,8,13,2,,102000,,102000,,540000,1600000,92.59898057
2014-0310-USA,2014,310,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Iselle,Affected,United States of America (the),USA,Northern America,Americas,Hawaii province,,,,,,,,95,Kph,,,,,2014,8,8,2014,8,10,1,,834,,834,,,66000,92.59898057
2014-0165-USA,2014,165,Natural,Climatological,Wildfire,Forest fire,,,Affected,United States of America (the),USA,Northern America,Americas,"Hutchinson district (Texas province), San Diego district (California province)","Excessive heat, drougth and winds",,,,,,,,Km2,,,,,2014,5,11,2014,5,20,2,,429,,429,,,100000,92.59898057
2014-0167-USA,2014,167,Technological,Technological,Transport accident,Road,,,Kill,United States of America (the),USA,Northern America,Americas,Orland (California),,,,,No,No,,,,,,,,2014,4,11,2014,4,11,10,30,,,30,,,,92.59898057
2014-0568-USA,2014,568,Technological,Technological,Industrial accident,Chemical spill,,,Affected,United States of America (the),USA,Northern America,Americas,Charleston (West Virginia),,,,,No,No,,,m3,,,,,2014,1,9,2014,1,10,,169,,,169,,,,92.59898057
2014-0556-USA,2014,556,Technological,Technological,Miscellaneous accident,Explosion,,Jail,Affected,United States of America (the),USA,Northern America,Americas,Pensacola (Florida),,,,,No,No,,,,,,,,2014,4,30,2014,4,30,2,184,,,184,,,,92.59898057
2015-0211-USA,2015,211,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,SigDam,United States of America (the),USA,Northern America,Americas,"Texas, Oklahoma, Kansas, Nebraska, Missouri, Colorado, Minnesota, South Dakota provinces",,Flood,Hail,,,,,130,Kph,,,,,2015,5,6,2015,5,13,4,,,,,,800000,1400000,92.70882199
2015-0488-USA,2015,488,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Waiting,United States of America (the),USA,Northern America,Americas,"Austin, Houston districts (Texas province), Lousiana province",,Flood,Hail,,,,,,Kph,,,,,2015,10,29,2015,11,3,6,,,,,,200000,270000,92.70882199
2015-0155-USA,2015,155,Natural,Meteorological,Storm,Convective storm,Tornado,,SigDam,United States of America (the),USA,Northern America,Americas,"Texas, Louisiana, Alabama, Mississippi, Kentucky, Georgia, Florida provinces",,Flood,Hail,,,,,,Kph,,,,,2015,4,24,2015,4,28,4,12,,,12,,800000,950000,92.70882199
2015-0180-USA,2015,180,Natural,Meteorological,Storm,Convective storm,Tornado,,Declar,United States of America (the),USA,Northern America,Americas,"Kansas, Nebraska, Texas, Oklahoma, Minnesota, Iowa, Wisconsin provinces",,Flood,Hail,,,,,,Kph,,,,,2015,5,3,2015,5,5,1,40,,,40,,200000,160000,92.70882199
2015-0245-USA,2015,245,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,SigDam,United States of America (the),USA,Northern America,Americas,"Colorado, Illinois provinces",,Hail,Flood,,,,,,Kph,,,,,2015,6,3,2015,6,8,,,,,,,450000,650000,92.70882199
2015-0138-USA,2015,138,Natural,Meteorological,Storm,Convective storm,Tornado,,SigDam,United States of America (the),USA,Northern America,Americas,"Fairdale area (DeKalb district, Illinois province), Rochelle town (Ogle district, Illinois province), Missouri, North Carolina, Indiana, Ohio, Kentucky, Texas, Iowa, Arkansas, Michigan, West Virginia, Wisconsin, Pennsylvania, Oklahoma, Kansas, Tennessee provinces",,Hail,Flood,,,,,,Kph,,,,,2015,4,7,2015,4,10,3,12,,,12,,990000,1400000,92.70882199
2015-0326-USA,2015,326,Natural,Meteorological,Storm,Convective storm,Severe storm,,SigDam,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Wisconsin, Minnesota, Ohio, Iowa, Kentucky, Tennessee, Missouri, South Carolina, North Carolina",,Lightening,Flood,,,,,,Kph,,,,,2015,7,12,2015,7,14,4,,,,,,450000,700000,92.70882199
2015-0401-USA,2015,401,Natural,Climatological,Wildfire,,,Valley Fire,Affected,United States of America (the),USA,Northern America,Americas,"California, Idaho, Montana, Oregon, Washington provinces","High temperature, Ligthning",Pollution,,,,,,,Km2,,,,,2015,8,13,2015,8,31,4,8,600,3900,4508,,,150000,92.70882199
2015-0123-USA,2015,123,Natural,Meteorological,Storm,Convective storm,Tornado,,Affected,United States of America (the),USA,Northern America,Americas,"Moore area (Cleveland district, Oklahoma province), Osage, Tulsa districts (Oklahoma province), Kansas, Missouri, Arkansas provinces",,Hail,,,,,,110,Kph,,,,,2015,3,25,2015,3,26,1,12,3300,,3312,,450000,500000,92.70882199
2015-0400-USA,2015,400,Natural,Meteorological,Storm,Convective storm,Severe storm,,SigDam,United States of America (the),USA,Northern America,Americas,"Chicago, Lincolnwood towns (Cook district, Illinois province), Wood Dale town (DuPage district, Illinois province), Lancaster town (Coos district, New Hampshire province), Indiana, Ohio, Connecticut, Michigan, Massachusetts, Wisconsin, Rhode Island, Maine, New York provinces",,Hail,,,,,,95,Kph,,,,,2015,8,2,2015,8,4,4,40,,,40,,800000,950000,92.70882199
2015-0565-USA,2015,565,Natural,Hydrological,Flood,,,,Kill,United States of America (the),USA,Northern America,Americas,"Mississippi, Missouri, Kentucky, Tennessee, Arkansas, Alabama, Illinois, Indiana, Louisiana provinces",Heavy rains,Storm,,,,,,,Km2,356.658,-910.83,,Mississippi river,2015,12,15,2016,1,6,31,50,4000,,4050,,200000,600000,92.70882199
2015-0046-USA,2015,46,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,Storm Octavia,Declar,United States of America (the),USA,Northern America,Americas,"Tennessee, Kansas, District of Columbia, Boston, Ohio, Virginia, Georgia, North Carolina, South Carolina provinces",,Cold wave,,,,Yes,,,Kph,,,,,2015,2,16,2015,2,22,10,,,,,,75000,100000,92.70882199
2015-0072-USA,2015,72,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,United States of America (the),USA,Northern America,Americas,"Illinois, Michigan, Massachusetts, New York, Connecticut, Indiana provinces",,Cold wave,,,,,,,Kph,,,,,2015,1,31,2015,2,4,22,,,,,,200000,150000,92.70882199
2015-0558-USA,2015,558,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,"Dallas, Ellis, Collin districts (Texas province), Mississippi, Tennessee, Arkansas, Alabama, Georgia, New Mexico, Missouri, Kentucky, Indiana, Oklahoma, Illinois provinces",,Flood,,,,Yes,,,Kph,,,,,2015,12,26,2015,12,30,45,60,,,60,,800000,900000,92.70882199
2015-0531-USA,2015,531,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,United States of America (the),USA,Northern America,Americas,"Texas, Kansas, Oklahoma provinces",Heavy rain,Flood,,,,,,,Kph,,,,,2015,11,25,2015,12,4,18,,300,,300,,62500,140000,92.70882199
2015-0459-USA,2015,459,Natural,Meteorological,Storm,Tropical cyclone,,Joaquin,Kill,United States of America (the),USA,Northern America,Americas,"South Carolina, North Carolina",,Flood,,,,,,,Kph,335.033,-804.93,,,2015,10,1,2015,10,13,21,,800,,800,,400000,1700000,92.70882199
2015-0026-USA,2015,26,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Declar,United States of America (the),USA,Northern America,Americas,"Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Rhode Island",,Snow/ice,,,,Yes,,104,Kph,,,,,2015,1,26,2015,1,28,2,,,,,,50000,80000,92.70882199
2015-0212-USA,2015,212,Natural,Hydrological,Flood,Flash flood,,,Kill,United States of America (the),USA,Northern America,Americas,"Texas, Oklahoma, Colorado, Arkansas, Kansas, Louisiana, Georgia, Ohio, South Carolina",Heavy rain,Lightening,,,,,,849465,Km2,34.1936,-97.99,,,2015,5,23,2015,5,30,32,,12000,,12000,,1500000,2700000,92.70882199
2015-0177-USA,2015,177,Natural,Meteorological,Storm,Convective storm,Tornado,,SigDam,United States of America (the),USA,Northern America,Americas,"Nashville town (Howard district, Arkansas province); Van town (Van Zandt district, Texas province), Delmond town (Douglas district, South Dakota province), Colorado, Oklahoma, Kansas, Iowa provinces",,,,,,,,,Kph,,,,,2015,5,6,2015,5,13,6,,,,,,,1000000,92.70882199
2015-0025-USA,2015,25,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,United States of America (the),USA,Northern America,Americas,"Illinois, Wisconsin, Pennsylvania provinces",,,,,,,,,Kph,,,,,2015,1,6,2015,1,11,15,,,,,,,100000,92.70882199
2015-0073-USA,2015,73,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,United States of America (the),USA,Northern America,Americas,"Massachusetts, New York, Tennessee, Maryland, Virginia, Pennsylvania, Kentucky, North Carolina, Michigan, Rhode Island, New Hampshire, Ohio, South Carolina, Illinois, District of Columbia, Maine, Vermont provinces",,,,,,,,,Kph,,,,,2015,2,16,2015,2,22,30,,,,,,2000000,3000000,92.70882199
2015-0122-USA,2015,122,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,United States of America (the),USA,Northern America,Americas,"New York, Pennsylvania, Kentucky, West Virginia, Arkansas provinces",,,,,,,,,Kph,,,,,2015,3,3,2015,3,5,13,,,,,,200000,170000,92.70882199
2015-0186-USA,2015,186,Natural,Hydrological,Flood,Flash flood,,,Affected,United States of America (the),USA,Northern America,Americas,"San Marcos area (Hays district, Texas province), Claremore area (Hays district, Oklahoma province)",Torrential rains,,,,,,,,Km2,,,,,2015,5,24,2015,5,24,16,,12000,,12000,,,,92.70882199
2015-0431-USA,2015,431,Natural,Hydrological,Flood,Flash flood,,,Kill,United States of America (the),USA,Northern America,Americas,"Hildale town (Washington district, Utah province), Las Vegas town (Clark district, Nevada province)",Torrentila rains,,,,,,,,Km2,,,,,2015,9,14,2015,9,14,19,,,,,,,2000,92.70882199
2015-0421-USA,2015,421,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Affected,United States of America (the),USA,Northern America,Americas,"Lake, Napa, Sonoma, Butte districts (California province)","High tempertaures, gusty winds, dry soil, vast swathes of dried vegetation and brush",,,,,Yes,,,Km2,,,,,2015,9,13,2015,9,20,4,,,7302,7302,,960000,1400000,92.70882199
2015-0613-USA,2015,613,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,Butte fire,SigDis,United States of America (the),USA,Northern America,Americas,"Amador, Calaveras (California)",,,,,,,,,Km2,,,,,2015,9,9,2015,9,14,3,,,1425,1425,,450000,400000,92.70882199
2015-0085-USA,2015,85,Technological,Technological,Transport accident,Air,,Military Helicopter UH-60,Kill,United States of America (the),USA,Northern America,Americas,Eglin (Florida),,,,,No,No,,,,,,,,2015,3,10,2015,3,10,11,,,,,,,,92.70882199
2015-0174-USA,2015,174,Technological,Technological,Transport accident,Rail,,,Affected,United States of America (the),USA,Northern America,Americas,Philadelphia,,,,,No,No,,,,,,,,2015,5,12,2015,5,12,8,200,,,200,,,,92.70882199
2015-0587-USA,2015,587,Technological,Technological,Industrial accident,Gas leak,,Storage facility,Affected,United States of America (the),USA,Northern America,Americas,Aliso Canyon,,,,,,Yes,,,m3,,,,,2015,10,23,2015,10,23,,660,7574,,8234,,,,92.70882199
2015-9210-USA,2015,9210,Natural,Climatological,Drought,Drought,,,SigDam,United States of America (the),USA,Northern America,Americas,"California, Nevada, Oregon, Washington, Idaho, Montana, Utah, Arizona provinces",,,,,,,,,Km2,,,,,2015,1,,2015,12,,,,,,,,,1800000,92.70882199
2015-0221-USA,2015,221,Technological,Technological,Industrial accident,Oil spill,,,Declar,United States of America (the),USA,Northern America,Americas,Santa Barbara (California),,,,,No,Yes,,,m3,,,,,2015,5,20,2015,5,20,,,,,,,,,92.70882199
2015-0312-USA,2015,312,Natural,Climatological,Wildfire,,,,Declar,United States of America (the),USA,Northern America,Americas,"Lake, Napa, Solano, Yolo, Modoc, Colusa districts (California province)","Drought conditions, gusty winds, warm temperatures, lightening",,,,,Yes,,,Km2,,,,,2015,7,22,2015,8,13,1,,,129,129,,,2000,92.70882199
2015-0399-USA,2015,399,Natural,Hydrological,Flood,,,,Affected,United States of America (the),USA,Northern America,Americas,"Hillsborough, Pasco, Pinellas, Dixie, Taylor districts (Florida province)",,,,,,Yes,,,Km2,,,,,2015,7,24,2015,8,5,,,600,,600,,,100000,92.70882199
2016-0012-USA,2016,12,Natural,Meteorological,Storm,Convective storm,Severe storm,,Declar,United States of America (the),USA,Northern America,Americas,"Ventura, Orange, San Diego, Los Angles districts (California province)",Pacific storm systems fueled by El Nino,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2016,1,4,2016,1,8,,,,,,,65000,125000,93.87843648
2016-0203-USA,2016,203,Natural,Meteorological,Storm,Convective storm,,,Kill,United States of America (the),USA,Northern America,Americas,"Greenbier district (West Virginia province); Ohio, Indiana, Illinois, Wisconsin, Virginia",Torrential rain,Flood,"Slide (land, mud, snow, rock)",,,Yes,,,Kph,349.452,805.54,,,2016,6,22,2016,6,26,25,,2000,,2000,,200000,1000000,93.87843648
2016-0125-USA,2016,125,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Declar,United States of America (the),USA,Northern America,Americas,"Texas, Oklahoma, Arkansas, Louisiana, Mississippi, Kansas, Virginia, North Carolina, Georgia, Missouri, Illinois, West Virginia provinces",,Hail,Flood,,,,,,Kph,,,,,2016,4,25,2016,5,4,6,,,,,,2000000,2400000,93.87843648
2016-0322-USA,2016,322,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Hermine,Affected,United States of America (the),USA,Northern America,Americas,"Georgia, Florida, South Carolina, New York, New Jersey; Cedar Key, Florida, Aurora (North Carolina); Virginia Tidewater region",,Flood,Surge,,,,,85,Kph,,,,,2016,9,1,2016,9,6,3,,13500,570,14070,,270000,600000,93.87843648
